N. POZZO;X_GBO;Y_GBO;COMUNE;PROV;QUOTA P.R. [mslm];QUOTA P.C. [mslm];FALDA;PROFONDITA' [m];DATI da;DATI a
56;1731021.384;5026500.546;LEGNARO;PD;7,82;7,82;falda confinata;170;1999;2021
58;1715257.708;5035798.293;MESTRINO;PD;17,23;17,79;falda confinata;60;1999;2021
60;1728400.000;5044100.000;CAMPODARSEGO;PD;17,42;17,42;falda confinata;230;1999;2021
66;1718684.635;5028563.023;ABANO TERME;PD;14,2;13,35;falda libera;4,76;1999;2006
67;1716639.537;5030407.907;SACCOLONGO;PD;15,78;15,46;falda libera;4,09;1999;2012
68;1730317.354;5011735.085;ARRE;PD;2,19;0,74;falda libera;3,63;1999;2009
69;1710701.732;5050968.115;GAZZO;PD;35,74;35,49;falda libera;1,76;1999;2021
73;1714791.945;5036060.418;MESTRINO;PD;19,12;18,32;falda libera;3,48;1999;2003
75;1722368.631;5055420.122;VILLA DEL CONTE;PD;35,88;35,12;falda libera;2,85;1999;2021
76;1716756.172;5058436.226;CITTADELLA;PD;47,11;46,92;falda libera;9;1999;2008
77;1726325.576;5017709.142;CARTURA;PD;4,57;3,87;falda libera;4,7;1999;2003
78;1700117.414;5010523.193;SANTA MARGHERITA D'ADIGE;PD;13,1;11,97;falda libera;5,86;1999;2007
79;1734017.248;5050128.549;MASSANZAGO;PD;19,82;18,95;falda libera;3,63;1999;2012
80;1710772.979;5003269.055;VILLA ESTENSE;PD;6,51;5,56;falda libera;5,16;1999;2021
82;1714383.657;5008333.188;MONSELICE;PD;6,99;5,89;falda libera;4,5;1999;2009
83;1718616.540;5009349.420;POZZONOVO;PD;5,16;4,99;falda libera;4,25;1999;2009
84;1744607.874;5017772.451;CODEVIGO;PD;-0,62;-1,56;falda libera;3,83;1999;2009
85;1709106.177;5010720.909;ESTE;PD;11,23;10,19;falda libera;4,9;1999;2009
86;1701187.643;5000177.855;PIACENZA D'ADIGE;PD;6,65;5,74;falda libera;5,6;1999;2021
87;1692693.473;5013443.483;MONTAGNANA;PD;15,06;14,29;falda libera;5,24;1999;2009
239;1721567.069;5059594.582;SAN MARTINO DI LUPARI;PD;39,76;44,63;falda libera;16,2;1999;2021
241;1711933.578;5059413.728;CITTADELLA;PD;48;52,09;falda libera;23;1999;2021
513;1718209.760;5059012.157;CITTADELLA;PD;47,11;47,2;falda libera;12,98;2001;2021
514;1719783.273;5059252.846;TOMBOLO;PD;41,33;46,32;falda libera;12,6;2001;2021
515;1721774.152;5059941.278;SAN MARTINO DI LUPARI;PD;45,95;44,72;falda libera;8,8;2001;2021
518;1722027.995;5060722.884;SAN MARTINO DI LUPARI;PD;40,54;47,58;falda libera;13,7;2001;2021
975;1710729.000;5031720.000;CERVARESE SANTA CROCE;PD;;;falda libera;6;2010;2021
976;1724669.000;5022157.000;MASERA' DI PADOVA;PD;;;falda libera;6;2010;2021
977;1726131.000;5012177.000;CONSELVE;PD;;;falda libera;6;2010;2021
978;1715729.000;5012902.000;MONSELICE;PD;;;falda libera;6;2010;2021
979;1692876.000;5011652.000;MONTAGNANA;PD;;;falda libera;6;2010;2021
980;1694495.000;5007029.000;CASALE DI SCODOSIA;PD;;;falda libera;6;2010;2021
981;1742806.000;5017522.000;CODEVIGO;PD;;;falda libera;6;2010;2021
1029;1734522.100;5049724.050;MASSANZAGO;PD;;;falda libera;9;2012;2021
1030;1725243.230;5049897.210;SANTA GIUSTINA IN COLLE;PD;;;falda libera;9;2012;2021
1031;1719030.410;5044817.470;PIAZZOLA SUL BRENTA;PD;;;falda libera;9;2012;2021
1032;1736385.390;5054825.450;TREBASELEGHE;PD;;;falda libera;8,5;2012;2021
1033;1715526.710;5035190.610;MESTRINO;PD;;;falda libera;9;2012;2021
1034;1715526.710;5035190.610;MESTRINO;PD;;;falda confinata;20;2012;2021
1035;1725503.940;5036664.740;PADOVA;PD;;;falda libera;9;2012;2021
1036;1722135.100;5032370.180;PADOVA;PD;;;falda libera;9;2012;2021
1037;1733394.110;5041766.460;VILLANOVA DI CAMPOSAMPIERO;PD;;;falda libera;11;2012;2021
1038;1735645.070;5025018.010;SANT'ANGELO DI PIOVE DI SACCO;PD;;;falda libera;9;2012;2021
1039;1722328.600;5003387.630;POZZONOVO;PD;;;falda libera;9;2012;2021
1040;1722328.600;5003387.630;POZZONOVO;PD;;;falda confinata;20;2012;2021
1041;1715951.980;5016796.910;MONSELICE;PD;;;falda libera;9;2012;2021
1042;1736711.940;5011449.550;CANDIANA;PD;;;falda libera;9;2012;2013
1043;1709281.110;4998212.320;BARBONA;PD;;;falda libera;8,5;2012;2021
1044;1737154.530;5010467.240;CORREZZOLA;PD;;;falda libera;9;2012;2021
1045;1731307.020;5025735.120;LEGNARO;PD;;;falda libera;9;2012;2021
1046;1689155.060;5014262.550;MONTAGNANA;PD;;;falda libera;8,5;2012;2021
1068;1688960.100;5008433.060;URBANA;PD;;;falda libera;9;2012;2021
